word,part_of_speech,definition
querulous,adjective,adjective: given to complaining; complaining; fretful; whining
query,verb,verb: inquiry; question
queue,noun,noun: line (of waiting people or vehicles)
quibble,noun,noun: minor objection or complaint
quiescence,noun,noun: a state of quiet ; quiet and inactive restfulness
quiescent,adjective,adjective: dormant; temporarily inactive; at rest
quintessential,adjective,adjective: representing the purest or most typical example of a quality
quip,noun,noun: taunt; clever sarcastic remark
quirky,noun,"noun: unconventional in an odd, distinctive, or amusing way"
quisling,adjective,adjective: traitor who aids invaders
quixotic,adjective,adjective: idealistic but impractical
quizzical,adjective,adjective: curious; suggesting puzzlement (without saying); questioning; teasing
quotidian,noun,noun: daily; commonplace; customary
raconteur,noun,noun: story-teller; one who tells stories with wit and skill
radical,adjective,adjective: markedly new or introducing radical change
raffish,adjective,adjective: marked by up-to-dateness in dress and manners; marked by a carefree unconventionality or disreputableness
raft,noun,noun: a flat float ; a foundation
ragamuffin,noun,noun: dirty child in torn clothes; person wearing tattered clothes
rail,verb,verb: complain bitterly; scold; rant
raillery,noun,noun: light teasing repartee
raiment,noun,noun: clothing; garments
rakish,noun,noun: jaunty; stylish; sporty; morally corrupt
ramification,noun,noun: branching out; subdivision; one branch of a system; one of the results following from an action or decision
ramify,verb,verb: branch out; divide into branches or subdivisions
rampant,adjective,adjective: growing or spreading uncontrollably; growing in profusion; unrestrained
rampart,noun,noun: defensive mound of earth
rancorous,adjective,adjective: showing deep-seated resentment
rankle,verb,verb: irritate; fester; annoy
rankled,verb,verb: gnaw into; make resentful or angry
ranks,noun,noun: a row or line of people ; relative status
rapacious,adjective,adjective: voracious; ravenous; taking everything one can; excessively grasping
rapprochement,noun,noun: the reestablishing of cordial relations
rapt,noun,noun: engrossed; absorbed; enchanted
rapturous,adjective,adjective: feeling great rapture or delight
rarefied,adjective,adjective: made less dense (of a gas)
rarefy,verb,verb: lessen the density or solidity of; make more subtle or refined
rash,adjective,adjective: imprudently incurring risk; marked by defiant disregard for danger or consequences
rational,adjective,adjective: (of a person) having reason; (of ideas) based on reason; logical
rationalize,verb,"verb: make rational; devise false reasons for (one's behavior); offer an excuse; give a plausible reason for an action in place of a true, less admirable ones"
raucous,adjective,adjective: (of voice) harsh and unpleasant; (of people) disorderly and boisterous
ravenous,adjective,adjective: extremely hungry; voracious
raze,verb,verb: destroy completely
reactant,noun,noun: a chemical substance that is present at the start of a chemical reaction
readily,adjective; adverb,adjective; adverb: without much difficulty; in a punctual manner
realization,noun,noun: coming to understand something clearly and distinctly; making real or giving the appearance of reality
reap,verb,"verb: gather, as of natural products; get or derive"
rebuke,verb,verb: scold harshly; criticize severely
rebus,noun,noun: representation of words in the form of pictures or symbols; puzzle in which pictures or letters stand for words
rebut,verb,"verb: overthrow by argument, evidence, or proof; prove to be false or incorrect"
rebuttal,adjective,adjective: refutation; response with contrary evidence; disprove
recalcitrant,adjective,adjective: disobedient or resisting authority even after being punished; obstinately stubborn; determined to resist authority; unruly
recant,adjective,adjective: disclaim or disavow; retract a previous statement; openly confess error
recapitulate,noun,noun: summarize the main points again; restate briefly
recapitulated,adjective,adjective: summarize briefly; repeat stages of evolutionary development during the embryonic phase of life
recapitulation,noun,noun: emergence during embryonic development of various characters or structures that appeared during the evolutionary history of the strain or species
recidivism,noun,noun: habitual return to crime (even after being punished)
recidivist,noun,noun: someone who is repeatedly arrested for criminal behavior ; someone who lapses into previous undesirable patterns of behavior
recluse,noun,noun: hermit; loner
reclusive,adjective,adjective: withdrawn from society; seeking solitude; providing privacy or seclusion
reconcile,verb,verb: make friendly again (after quarrel); make consistent (two ideas in opposition); correct inconsistencies
reconciliation,noun,noun: the reestablishing of cordial relations; getting two things to correspond
recondite,adjective,adjective: abstruse; not easily understood; profound; secret
reconnaissance,noun,noun: survey of enemy by soldiers; reconnoitering
reconnoiter,noun,"noun: explore, often with the goal of finding something or somebody"
recourse,noun,noun: resorting to help when in trouble
recreant,adjective,adjective: disloyal; cowardly
recrimination,noun,noun: countercharges
recrudesce,verb,verb: break out or become active again after a quiet period
recrudescent,noun,noun: the revival of an unfortunate situation after a period of abatement
rectify,noun,noun: set right; correct
rectitude,noun,noun: moral correctness; moral uprightness; moral virtue; correctness of judgment
recumbent,adjective,adjective: reclining; lying down completely or in part
redolent,adjective,adjective: odorous; fragrant; suggestive (of an odor)
redouble,noun,"noun: double in magnitude, extent, or intensity; double again"
redoubtable,adjective,adjective: formidable; causing fear
redound,noun,noun: return or recoil; contribute
redress,noun,noun: remedy; compensation
reductive,adjective,adjective: characterized by or causing diminution or curtailment
redundant,adjective,adjective: superfluous; more than is necessary; verbose; excessively wordy
refine,verb,"verb: improve or perfect by pruning or polishing; make more complex, intricate, or richer"
refracted,verb,verb: subject to refraction; determine the refracting power of
refractory,adjective,adjective: unmanageable; disobedient and stubborn
refulgent,adjective,adjective: effulgent; brilliant; brightly shining; gleaming
refute,verb,verb: disprove; prove to be false
regale,noun,"noun: entertain or delight someone, often with stories or food"
regress,noun,noun: the reasoning involved when you assume the conclusion is true and reason backward to the evidence; returning to a former state
reiterate,noun,"noun: say or do again, especially for emphasis"
rejoinder,noun,noun: reply; retort; comeback
rejuvenated,verb,verb: cause ; develop youthful topographical features
relegate,verb,verb: put into a lower or worse place; banish to an inferior position; delegate; assign
relentless,adjective,adjective: not to be placated or appeased or moved by entreaty; never-ceasing
relevant,adjective,adjective: having importance; pertinent; referring to the case in hand
relinquish,verb,verb: give up something (with reluctance); yield; release
relish,noun,noun: enjoy; savor
remedial,adjective,adjective: tending or intended to rectify or improve; tending to cure or restore to health
reminiscent,adjective,adjective: suggestive of something (in the past); of reminiscence
remiss,noun,noun: negligent; careless about a duty
remonstrate,noun,noun: protest; objection
remunerated,verb,verb: receiving or eligible for compensation; make payment to; compensate
remuneration,noun,noun: something that remunerates; the act of paying for goods or services or to recompense for losses
renaissance,noun,noun: the period of European history at the close of the Middle Ages and the rise of the modern world; a cultural rebirth from the 14th through the middle of the 17th centuries; the revival of learning and culture
rend,noun,noun: split; tear apart
render,verb,verb: give; deliver; provide; represent in verbal or artistic form
renege,verb,verb: break a promise; deny; go back on
renounce,verb,verb: abandon; give up (by formal announcement); disown; repudiate
renowned,adjective,adjective: widely known and esteemed
rent,adjective,adjective: tear made by rending; rip; split
repast,noun,noun: meal; feast; banquet
repercussion,noun,noun: rebound; reaction; reverberation
repertoire,noun,"noun: list of works of music, drama, etc., a performer is prepared to present"
repertorial,adjective,"adjective: relating to a repertoire, catalog, or organized stock of works"
repine,noun,noun: fret; complain; be annoyed
replenish,noun,noun: fill up again
replete,noun,noun: fully filled; filled to the brim or to the point of being stuffed; abundantly supplied
repose,noun,noun: resting; state of being at rest; calmness
reprehensible,adjective,adjective: deserving blame; blameworthy
reprisal,noun,noun: an act of retaliation in response to an injury or attack
reproach,verb,verb: blame (not angrily but sadly); express disapproval or disappointment
reprobate,noun,"noun: morally disapproved person; person hardened in sin, devoid of a sense of decency"
reprove,verb,verb: censure; rebuke
repudiate,verb,verb: disown; disavow; deny
repugnant,adjective,adjective: offensive to the mind
requisite,noun,noun: necessary requirement; something required
requite,verb,verb: make return for; repay; reciprocate; revenge
rescind,verb,"verb: repeal; annul; cancel (a law, decision, or agreement)"
reservation,noun,noun: a district that is reserved for particular purpose; a statement that limits or restricts some claim
resignation,noun,noun: patiently submissiveness; statement that one is quitting a job
resigned,verb,verb: leave ; give up or retire from a position
resilient,adjective,adjective: elastic; having the power of springing back; able to recover quickly (as from misfortune)
resolute,adjective,adjective: firm in purpose or belief; characterized by firmness and determination; characterized by quickness and firmness
resolution,noun,noun: determination; resoluteness
resolve,noun,noun: determination; resolution; firmness of purpose
resonant,adjective,adjective: (of a sound) echoing; resounding (sounding loudly); deep and full in sound; producing resonance
respectively,adverb,adverb: in the order given
respite,verb,verb: time for rest; interval of relief; delay in punishment; reprieve
resplendent,adjective,adjective: brilliant; splendid in appearance; dazzling; glorious
restitution,noun,"noun: returning something (lost or stolen) to the rightful owner; reparation; indemnification; compensation for loss, damage, or injury"
restive,adjective,adjective: impatiently restless (induced by external coercion or restriction); restlessly impatient; obstinately resisting control
resurgence,noun,noun: bringing again into activity and prominence
resurgent,adjective,adjective: rising again as to new life and vigor
resurrect,verb,"verb: bring back to life, use, attention, or existence"
retard,verb,verb: delay (in development)
reticent,adjective,adjective: inclined to silence; uncommunicative; reserved
retiring,adjective,adjective: shy and reserved (of a person); modest
retract,verb,verb: withdraw; take back; draw back
retrenchment,noun,noun: entrenchment consisting of an additional interior fortification to prolong the defense; the reduction of expenditures in order to become financially stable
retrospection,noun,noun: reference to things past; memory for experiences that are past
retrospective,adjective,adjective: looking back on the past
revamp,verb,verb: to patch up or renovate; repair or restore; provide
revanche,noun,"noun: revenge, especially a political desire to regain lost territory"
reverberate,noun,noun: echo repeatedly; resound
revere,noun,noun: American silversmith remembered for his midnight ride ; 1735-1818
reverent,adjective,adjective: respectful; worshipful
revile,verb,verb: attack with abusive language; vilify (slander)
reviler,noun,noun: one who attacks with abusive or contemptuous language
revulsion,noun,noun: sudden strong feeling of disgust; sudden violent change of feeling; negative reaction
rhapsodize,verb,verb: speak or write in an exaggeratedly enthusiastic manner
rhetoric,adjective,adjective: art of effective communication; art of using language effectively and persuasively; style of speaking or writing; grandiloquent language
rhetorical,adjective,"adjective: of or relating to rhetoric; given to rhetoric, emphasizing style at the expense of thought"
ribald,adjective,adjective: marked by vulgar lewd humor; wanton; profane
rickety,noun,noun: (of buildings) likely to break or fall apart; of rickets
ridden,noun,"noun: sit and travel on the back of animal, usually while controlling its motions; be carried or travel on or in a vehicle"
rife,noun,noun: (of something bad) widespread; abundant; current
rift,verb,verb: narrow opening in a large mass; break in a friendly relation; OP. reconcilation
rile,adjective,adjective: irritate; vex; muddy
riposte,noun,noun: a quick reply to a question or remark
risible,adjective,adjective: arousing or provoking laughter
risque,noun,noun: suggestive of sexual impropriety
roborant,adjective,adjective: restorative; strengthening or invigorating
robust,noun,noun: strong; vigorous
rococo,noun,noun: ornate; highly decorated
rotund,noun,noun: (of a person) fat and round
row,noun,noun: an arrangement of objects or people side by side in a line; an angry dispute
rubicund,noun,noun: inclined to a healthy reddish color often associated with outdoor life
rubric,adjective,adjective: title or heading (in red print); directions for religious ceremony; protocol
rudimentary,adjective,adjective: elementary; not developed; crude
rue,verb,verb: regret; lament; mourn
ruffian,noun,noun: violent scoundrel; bully
ruminate,noun,"noun: chew over and over (mentally or, like cows, physically); mull over (ponder)"
runic,adjective,adjective: mysterious; set down in an ancient alphabet; magic charm
rustic,adjective,adjective: pertaining to country people; unsophisticated; simple; crude
saccharine,noun,noun: cloying sweet; characteristic of sugar or saccharin
sacrosanct,noun,noun: invioably sacred; most sacred; inviolable
sagacious,adjective,adjective: wise; perceptive; shrewd; having insight
sage,noun,noun: person celebrated for wisdom; wise person
salacious,adjective,adjective: lascivious; lustful
salient,adjective,adjective: prominent; projecting beyond a line; conspicuous
salubrious,adjective,adjective: healthful; conducive to health or well-being; socially desirable
salutary,adjective,adjective: tending to improve; beneficial; wholesome
salve,noun,noun: semisolid preparation ; anything that remedies or heals or soothes
sanatorium,noun,noun: a hospital for recuperation or for the treatment of chronic diseases; pejorative terms for an insane asylum
sanctimonious,adjective,adjective: displaying ostentatious or hypocritical devoutness
sanctimony,noun,noun: the quality of being hypocritically devout
sanction,verb,verb: approve; ratify
sangfroid,verb,"verb: calm self-possession, especially under stress"
sanguine,noun,noun: optimistic; cheerful; hopeful; of the color of blood
sap,verb,verb: diminish; weaken; undermine the foundations of (a fortification)
sapid,adjective,adjective: full of flavor
sapient,adjective,adjective: acutely insightful and wise
sardonic,adjective,adjective: scornfully mocking; disdainful; sarcastic; cynical
sartorial,adjective,adjective: pertainingto tailors or tailoring
sashayed,verb,"verb: move sideways; to walk with a lofty proud gait, often in an attempt to impress others"
satiate,verb,verb: satisfy fully (physical needs such as hunger); sate
satiate or sate,verb,"verb: satisfy fully, especially an appetite or desire"
satiated,adjective,adjective: supplied ; fill to satisfaction
satire,verb,"verb: form of literature in which irony, sarcasm, and ridicule are employed to attack human vice and folly"
satirical,adjective,adjective: using satire; mocking
saturate,verb,verb: soak thoroughly; imbue; impregnate; charge
saturnine,noun,noun: morose; gloomy
savant,adjective,adjective: scholar; learned person
savor,noun,"noun: enjoy; have a distinctive flavor, smell, or quality"
savvy,noun,noun: the cognitive condition of someone who understands; get the meaning of something
scant,adjective,adjective: less than the correct or legal or full amount often deliberately so; work hastily or carelessly; deal with inadequately and superficially
scanty,noun,noun: meager; insufficient
scapegoat,noun,noun: someone who bears the blame for others; whipping boy
scathing,adjective,adjective: marked by harshly abusive criticism
schadenfreude,noun,noun: enjoyment obtained from seeing or hearing about the troubles of others
schism,noun,noun: division into factions (esp. within a religious body); split
scintilla,noun,noun: trace; minute amount; shred; least bit
scintillating,adjective,adjective: brilliantly clever; marked by high spirits or excitement
sclerotic,adjective,"adjective: rigid, unresponsive, or unable to adapt"
scoff,verb,verb: laugh (at); mock; ridicule
scofflaw,noun,noun: one who habitually ignores the law and does not answer court summonses
scorn,noun,noun: lack of respect accompanied by a feeling of intense dislike; open disrespect for a person or thing
scotch,verb,"verb: to put an end to; to stop, block, or thwart"
screed,noun,noun: a long monotonous harangue; a long piece of writing
scrupulous,adjective,adjective: conscientious; extremely thorough
scrutinize,noun,noun: examine closely and critically
scuffle,verb,verb: struggle confusedly; move off in a confused hurry
scurrilous,adjective,adjective: abusive; obscene; indecent
scurvy,noun,noun: contemptible; despicable
scuttle,verb,verb: sink (a ship) by cutting holes in the hull; scrap; discard
searchingly,adverb,"adverb: in a probing, penetrating, or intensely examining manner"
secrete,verb,verb: conceal; hide away or cache; produce and release a substance into an organism
secretes,verb,verb: generate and separate from cells or bodily fluids; place out of sight; keep secret
sectarian,noun,noun: of a sect; narrow-minded; parochial
secular,adjective,adjective: worldly; not pertaining to church matters or religion; temporal
sedative,adjective; noun,adjective; noun: tending to soothe or tranquilize; a drug that reduces excitability and calms a person
sedentary,adjective,adjective: requiring sitting; done while sitting; not moving from one place to another; settled
sediment,noun,noun: matter that has been deposited by some natural process; deposit as a sediment
sedition,verb,verb: conduct or language inciting rebellion; rebellion; resistance to authority; insubordination
sedulous,adjective,adjective: diligent; assiduous; paying attention
segue,noun,noun: the act of changing smoothly from one state or situation to another; proceed without interruption; in music or talk
seine,noun,noun: seine net; net for catching fish
self-effacing,adjective,adjective: reluctant to draw attention to yourself
self-styled,adjective,adjective: as claimed by and for yourself often without justification
semantic,adjective,adjective: relating to meaning in language or symbols
semblance,noun,noun: outward appearance; guise
seminal,adjective,adjective: related to seed or semen; germinal; creative; providing a basis for further development
sensational,adjective,"adjective: causing intense interest, curiosity, or emotion; commanding attention"
sententious,adjective,adjective: pithy; terse; concise; aphoristic
sentient,adjective,adjective: capable of sensation and conscious; aware; sensitive
sentimental,adjective,adjective: swayed by sentiment; appealing to the sentiments
sepulchral,adjective,adjective: of or relating to a sepulchre; gruesomely indicative of death or the dead
sequacious,adjective,adjective: intellectually dependent; following another's s opinions too readily
seraphic,adjective,adjective: of or relating to an angel of the first order; having a sweet nature befitting an angel or cherub
sere,adjective,adjective: sear; parched; dry
serendipity,noun,noun: gift for finding valuable things by accident; accidental good fortune or luck
serene,adjective,adjective: not agitated; without losing self-possession; completely clear and fine
serenity,noun,noun: calmness; placidity
servile,adjective,adjective: slavish; cringing
sever,verb,verb: separate; cut off (a part) from a whole; break up (a relationship)
sham,noun,noun: pretend; feign
shard,noun,"noun: fragment generally of broken pottery (glass, clay bowl, or cup)"
shelve,verb,verb: hold back to a later time; place on a shelf
shirk,verb,"verb: avoid (responsibility, work, etc.); malinger"
showy,adjective,adjective: marked by ostentation but often tasteless; displaying brilliance and virtuosity
shrewd,noun,noun: clever; astute
sibilant,noun,noun: of speech sounds produced by forcing air through a constricted passage ; a consonant characterized by a hissing sound
sidereal,adjective,adjective: relating to stars
simper,noun,noun: smirk; smile in a silly way; smile affectedly
simulacrum,noun,noun: an insubstantial or vague semblance; a representation of a person
simultaneous,adjective,adjective: occurring or operating at the same time
sinecure,noun,noun: well-paid position with little responsibility
singular,adjective,adjective: being only one; individual; unique; extraordinary
sinuous,adjective,adjective: twisting; winding; bending in and out; not morally honest
skeptic,noun,noun: sceptic; doubter; person who suspends judgment until he has examined the evidence supporting a point of view
skirt,noun,noun: cloth covering that forms the part of a garment below the waist; a garment hanging from the waist; worn mainly by girls and women
skittish,adjective,adjective: inconstant; capricious; frivolous; not serious
skulduggery,noun,noun: verbal misrepresentation intended to take advantage of you in some way
skulk,verb,verb: move furtively and secretly
skullduggery,noun,noun: verbal misrepresentation intended to take advantage of you in some way
slack,noun,noun: moving slowly; sluggish; inactive; (of a rope) loose
slake,verb,verb: satisfy (thirst); quench; sate
slander,noun,noun: defamation; utterance of false and malicious statements
slapdash,noun,noun: hasty and careless; haphazard; sloppy (carelessly done)
slatternly,adverb,adverb: characteristic of or befitting a slut or slattern; used especially of women
slew,noun,noun: large quantity or number
slight,noun,noun: insult to one's dignity; snub
slipshod,noun,noun: slovenly; careless; sloppy; untidy
slothful,adjective,adjective: disinclined to work or exertion
slovenly,adverb,adverb: untidy; careless in work habits; slipshod
sluggish,noun,noun: lazy; slow; inactive; lethargic
smattering,adjective,adjective: slight knowledge; small scattered number or amount
smug,noun,noun: self-satisfied; complacent
snide,noun,noun: expressive of contempt
snub,noun,noun: ignore or behave coldly toward
sobriquet,noun,noun: a familiar name for a person
sodden,noun,noun: thoroughly soaked; dull or stupid as if from drink
sojourn,noun,noun: temporary stay
solder,noun,noun: repair or make whole by using a metal alloy
solecism,noun,noun: nonstandard grammatical construction; construction that is flagrantly incorrect grammatically; violation of social etiquette
solicitous,adjective,adjective: anxious; worried; concerned; eager
solicitude,noun,noun: a feeling of excessive concern
solidarity,noun,noun: a union of interests or purposes or sympathies among members of a group
soliloquy,noun,noun: talking to oneself (esp. in a play); long speech by one person (often monopolizing a conversation)
solipsistic,adjective,adjective: extremely self-absorbed; treating one's own mind as the only certainty
solvent,adjective,adjective: able to pay all depths
somatic,adjective,adjective: pertaining to the body; bodily; physical
somber,noun,noun: dark; gloomy; melancholy; depressing
somnolent,adjective,adjective: half asleep; drowsy
sonorous,adjective,adjective: resonant; producing a full deep sound; producing sound
sophisticated,adjective,adjective: worldly wise and urbane; refined; complex
sophistry,noun,noun: seemingly plausible but fallacious reasoning; sophism
sophomoric,adjective,adjective: immature; half-baked; like a sophomore
soporific,adjective,adjective: sleep-causing; marked by sleepiness; drowsy
sordid,noun,noun: filthy; foul; base; vile
soubriquet,noun,noun: a familiar name for a person
sound,adjective,adjective: in good condition; showing good judgment or good sense; thorough; complete
soupcon,noun,noun: a slight but appreciable amount
sovereign,noun,noun: ruler in a monarchy
sparing,adjective,adjective: avoiding waste; refrain from harming
sparse,adjective,adjective: not thick; thinly scattered; scanty
spartan,adjective,adjective: without attention to comfort; lacking luxury and comfort; sternly disciplined
spate,noun,noun: sudden flood or rush
spearhead,noun,noun: someone who leads or initiates an activity ; the leading military unit in an attack
specious,adjective,adjective: seemingly reasonable but incorrect; misleading (often intentionally)
spectrum,adjective,adjective: colored band produced when a beam of light passes through a prism; broad and continuous range
speculate,verb,"verb: to believe especially on uncertain or tentative grounds; talk over conjecturally, or review in an idle or casual way and with an element of doubt or without sufficient reason to reach a conclusion"
spendthrift,noun,noun: someone who wastes money
splenetic,adjective,adjective: of or relating to the spleen; very irritable
sporadic,adjective,adjective: occurring irregularly; intermittent
sportive,adjective,adjective: playful; frolicsome; merry
spurious,adjective,adjective: false; counterfeit; forged; illogical
spurn,verb,verb: reject disdainfully; scorn
squalid,noun,noun: morally degraded; foul and run-down and repulsive
squander,noun,noun: waste; spend foolishly
squelch,verb,verb: produce a splashing sound (when stepping through mud); crush; squash
staid,noun,noun: serious and sedate; sober
stalwart,noun,noun: physically strong; brawny; steadfast; strong in mind or determination
stanch,verb,verb: stop or check flow of blood
standing,adjective,adjective: having a supporting base; not created for a particular occasion
stanza,noun,noun: division of a poem (composed of two or more lines)
staple,noun,"noun: necessary or important, especially regarding food or commodities"
stark,noun,noun: devoid of any qualifications or disguise or adornment; severely simple
start,verb,verb: move suddenly or involuntarily
stasis,noun,noun: an abnormal state in which the normal flow of a liquid ; inactivity resulting from a static balance between opposing forces
static,adjective,adjective: having no motion; unchanging; lacking development
statuesque,noun,noun: of size and dignity suggestive of a statue; suggestive of a statue
status quo,noun,noun: the existing state of affairs
staunch,verb,verb: firm and dependable especially in loyalty; stop the flow of a liquid
steadfast,noun,noun: steadily loyal; unswerving; steady
steep,noun,noun: soak; saturate
steeped,adjective,adjective: devote ; let sit in a liquid to extract a flavor or to cleanse
stem,verb,verb: stop or check (the flow of)
stentorian,noun,noun: (of the voice) extremely loud
stern,adjective,adjective: of a stern or strict bearing or demeanor; forbidding in aspect; not to be placated or appeased or moved by entreaty
stevedore,noun,noun: a laborer who loads and unloads vessels in a port
stifle,verb,verb: suppress; extinguish; inhibit; smother or suffocate
stigma,noun,noun: token of disgrace; brand; characterize as disgraceful
stigmas,noun,noun: the apical end of the style where deposited pollen enters the pistil; a symbol of disgrace or infamy
stigmatize,verb,verb: to accuse or condemn or openly or formally or brand as disgraceful; mark with a stigma or stigmata
stilted,adjective,adjective: bombastic; stiffly pompous
stingy,noun,noun: unwilling to spend ; deficient in amount or quality or extent
stint,noun,noun: set limits in amount or number; be thrifty
stinting,adjective,adjective: avoiding waste; subsist on a meager allowance
stipend,noun,noun: pay for services
stipulate,noun; verb,noun; verb: state as a necessary condition (of an agreement); make express conditions; specify
stoic,adjective,adjective: stoical; impassive; unmoved by joy or grief
stoic or stoical,adjective,adjective: showing endurance of pain or hardship without complaint
stolid,noun,noun: dull; impassive; showing little emotion when strong feelings are expected
storied,adjective,adjective: having an illustrious past; having stories as indicated
stratagem,noun,noun: deceptive scheme; clever trick
stratum,noun,noun: layer of earth's surface; layer of society; PL. strata
streamlined,adjective,adjective: made efficient by stripping off nonessentials; designed or arranged to offer the least resistant to fluid flow
strenuous,adjective,adjective: characterized by or performed with much energy or force; taxing to the utmost; testing powers of endurance
striated,adjective,adjective: marked with parallel bands; striped; grooved
stricture,adjective; verb,adjective; verb: severe and adverse criticism; critical comments; limit or restriction
strident,adjective,adjective: loud and harsh; insistent
strife,noun; adjective,noun; adjective: lack of agreement or harmony; bitter conflict; heated often violent dissension
stringent,adjective,adjective: (of rules) binding; rigid; marked by scarcity of money
strut,noun,noun: pompous walk
stultify,verb,verb: to make ineffective or absurd; to make someone appear foolish; to hinder or frustrate
stupefied,adjective,adjective: as if struck dumb with astonishment and surprise; in a state of mental numbness especially as resulting from shock
stupefy,verb,verb: stun; make numb (as with a drug); amaze
stygian,noun,noun: unpleasantly dark; gloomy; hellish; deathly
stymie,verb,verb: thwart; present an obstacle; stump
stymie or stymy,verb; noun,"verb; noun: to block, thwart, or prevent progress; an obstacle"
subjective,adjective,adjective: influenced by personal feelings; occurring or taking place within the mind; unreal
sublime,adjective,"adjective: causing deep feelings of wonder, joy, respect, etc.; exalted; noble and uplifting; utter"
subliminal,adjective,adjective: below the threshold of conscious perception
subordinate,noun,noun: occupying a lower rank; inferior; submissive
subpoena,noun,noun: writ (written command issued by a court) summoning a witness to appear in court
subsequent,adjective,adjective: following in time or order; later
subservient,adjective,adjective: behaving like a slave; servile; obsequious; subordinate
subside,noun,noun: sink to a lower level; settle down; sink to the bottom (as a sediment); descend
subsidy,noun,"noun: direct financial aid by government, etc."
substantiate,verb,verb: support (a claim) with evidence; establish with evidence; verify
subsume,verb,verb: include (as a member of a group); encompass
subterfuge,noun,noun: stratagem (deceptive scheme); pretense; evasion
subtle,noun,noun: difficult to detect or grasp by the mind or analyze; able to make fine distinctions
subversive,adjective; verb,adjective; verb: tending to overthrow or ruin; destroy completely
subvert,verb,verb: cause the downfall of; of rulers; corrupt morally or by intemperance or sensuality
succeeding,adjective,adjective: coming after or following
succinct,noun,noun: briefly giving the gist of something
succor,verb,verb: assist (someone in difficulty); aid; comfort
succumb,verb,verb: yield (to something overwhelming); give in; die
sufficient,adjective,adjective: of a quantity that can fulfill a need or requirement but without being abundant
sullen,noun,noun: silently showing ill humor or resentment; dark; gloomy
sully,adverb,adverb: defile; soil; tarnish
summit,noun,noun: the highest level or degree attainable; the highest stage of development; the top or extreme point of something
sumptuary,adjective,"adjective: regulating or limiting personal spending, dress, or luxury"
sundry,noun,noun: miscellaneous; various; several
superbly,adverb,adverb: excellently; magnificently; to a very high degree
supercilious,adjective,adjective: haughty; arrogant; condescending; patronizing
superficial,adjective,adjective: of the surface; not deep; shallow; not thorough
superfluous,adjective,adjective: excessive; overabundant; unnecessary
supersede,verb,verb: replace; cause to be set aside; make obsolete
supine,noun,noun: lying on back; passive; inactive
supplant,verb,verb: take the place of unfairly; usurp; replace
suppliant,adjective,adjective: entreating; beseeching
supplicant,noun,noun: one who supplicates
supplicate,noun,noun: petition humbly; pray to grant a favor
supposition,noun,noun: assumption; hypothesis; surmise
surfeit,noun,noun: satiate; feed or supply to excess; stuff; indulge to excess in anything
surly,adverb,adverb: bad-tempered; rude; cross
surmise,verb; noun,verb; noun: to guess or infer from limited evidence; a conjecture
surmount,verb,verb: overcome a difficulty; rise above or climb over
surpassing,adjective,adjective: exceeding or surpassing usual limits especially in excellence; far beyond what is usual in magnitude or degree
surreptitious,adjective,adjective: done secretly; secret; furtive; sneaky
surrogate,noun,noun: substitute; person or thing used in place of another
susceptible,adjective,adjective: impressionable; easily influenced; sensitive; having little resistance as to a disease
swathe,noun,noun: swath; wrap around; bandage
sybarite,noun,noun: lover of luxury; person devoted to pleasure and luxury
sycophant,adjective,adjective: servile flatterer; bootlicker; yes man
symbiosis,noun,"noun: interdependent relationship (between groups, species) often mutually beneficial"
synchronous,adjective,adjective: similarly timed; simultaneous with; occurring at the same time
syncopated,adjective,adjective: stressing a normally weak beat; omit a sound or letter in a word
synergy,noun,noun: the working together of two things
synoptic,adjective,adjective: providing a general overview; summary
syntax,noun,noun: the grammatical arrangement of words in sentences; a systematic orderly arrangement
synthesize,verb,"verb: combine so as to form a more complex, product; combine and form a synthesis"
table,noun,noun: a set of data arranged in rows and columns; a piece of furniture having a smooth flat top that is usually supported by one or more vertical legs
tacit,adjective,adjective: understood (without actually being expressed); not put into words
taciturn,noun,noun: habitually silent; talking little
tact,noun,noun: skill or sensitivity in dealing with people without causing offence
tamp,noun,noun: a tool for tamping ; press down tightly
tangential,adjective,adjective: only slightly connected; not central; peripheral; digressing
tangible,adjective,adjective: able to be touched; real; concrete; palpable
tantalize,noun,noun: tease; excite by exposing something desirable while keeping it out of reach; torture with disappointment
tantalizing,adjective,adjective: arousing desire or expectation for something unattainable or mockingly out of reach; very pleasantly inviting
tantamount,noun,noun: equivalent in effect or value
tarnish,verb,verb: make or become dull or discolored
tautology,noun,noun: useless repetition
tawdry,noun,noun: cheap and gaudy
taxing,adjective,adjective: not easily borne; wearing; levy a tax on
taxonomic,adjective,adjective: of or relating to taxonomy
telling,adjective,adjective: disclosing unintentionally something concealed; powerfully persuasive
telltale,noun,noun: disclosing unintentionally something concealed; someone who gossips indiscreetly
temerity,noun,noun: boldness; nerve; rashness
temper,verb,verb: moderate; make less severe; tone down or restrain; toughen (steel) as by alternate heating and cooling
temperance,noun,noun: the trait of avoiding excesses; abstaining from excess
temperate,verb,verb: moderate; restrained; self-controlled; moderate in respect to temperature
tempered,adjective,adjective: made hard or flexible or resilient especially by heat treatment; adjusted or attuned by adding a counterbalancing element
tempestuous,adjective,adjective: stormy; violent; impassioned
temporal,adjective,adjective: of time; not lasting forever; limited by time; temporary
tenable,adjective,adjective: based on sound reasoning or evidence
tenacious,adjective,adjective: holding fast (as to a belief); persistent
